Wavelength (nm),Transmitance (%)
400,99.7053
400.2,99.7021
400.4,99.7
400.6,99.6999
400.8,99.6994
401,99.6975
401.2,99.6953
401.4,99.694
401.6,99.6931
401.8,99.6922
402,99.6911
402.2,99.691
402.4,99.6907
402.6,99.6883
402.8,99.6881
403,99.687
403.2,99.6861
403.4,99.6859
403.6,99.6855
403.8,99.6852
404,99.6821
404.2,99.681
404.4,99.6798
404.6,99.6787
404.8,99.6778
405,99.6776
405.2,99.6775
405.4,99.6774
405.6,99.6749
405.8,99.6733
406,99.668
406.2,99.6676
406.4,99.6674
406.6,99.6656
406.8,99.6656
407,99.6644
407.2,99.6643
407.4,99.6641
407.6,99.663
407.8,99.6614
408,99.6603
408.2,99.6592
408.4,99.6582
408.6,99.6555
408.8,99.6552
409,99.6547
409.2,99.6542
409.4,99.6538
409.6,99.6511
409.8,99.6479
410,99.6456
410.2,99.6448
410.4,99.6442
410.6,99.6439
410.8,99.6433
411,99.6432
411.2,99.6415
411.4,99.6397
411.6,99.6386
411.8,99.6383
412,99.638
412.2,99.635
412.4,99.6326
412.6,99.6324
412.8,99.6318
413,99.6245
413.2,99.6228
413.4,99.6203
413.6,99.6181
413.8,99.6133
414,99.6106
414.2,99.6083
414.4,99.6051
414.6,99.6001
414.8,99.5995
415,99.5992
415.2,99.5964
415.4,99.5962
415.6,99.5955
415.8,99.5952
416,99.5951
416.2,99.5926
416.4,99.5921
416.6,99.5892
416.8,99.5746
417,99.5737
417.2,99.5733
417.4,99.5717
417.6,99.571
417.8,99.5652
418,99.5621
418.2,99.5593
418.4,99.5585
418.6,99.555
418.8,99.5534
419,99.5516
419.2,99.5504
419.4,99.5444
419.6,99.5441
419.8,99.544
420,99.5392
420.2,99.5382
420.4,99.5295
420.6,99.5287
420.8,99.5284
421,99.5211
421.2,99.517
421.4,99.515
421.6,99.5143
421.8,99.5134
422,99.5121
422.2,99.5096
422.4,99.5063
422.6,99.5016
422.8,99.4971
423,99.4952
423.2,99.4951
423.4,99.495
423.6,99.4932
423.8,99.4925
424,99.4917
424.2,99.4916
424.4,99.4911
424.6,99.4896
424.8,99.4888
425,99.4875
425.2,99.4869
425.4,99.486
425.6,99.4858
425.8,99.4858
426,99.4854
426.2,99.4852
426.4,99.4846
426.6,99.4835
426.8,99.4816
427,99.481
427.2,99.481
427.4,99.478
427.6,99.4772
427.8,99.477
428,99.4769
428.2,99.4762
428.4,99.4747
428.6,99.4746
428.8,99.4745
429,99.4742
429.2,99.4738
429.4,99.4734
429.6,99.4731
429.8,99.4718
430,99.4716
430.2,99.4713
430.4,99.4698
430.6,99.4696
430.8,99.4694
431,99.4691
431.2,99.4686
431.4,99.4678
431.6,99.4677
431.8,99.4675
432,99.4674
432.2,99.4668
432.4,99.4665
432.6,99.466
432.8,99.465
433,99.4644
433.2,99.4632
433.4,99.4617
433.6,99.4617
433.8,99.4616
434,99.4615
434.2,99.4602
434.4,99.4588
434.6,99.4576
434.8,99.4553
435,99.4527
435.2,99.452
435.4,99.4489
435.6,99.4484
435.8,99.4483
436,99.448
436.2,99.4456
436.4,99.4432
436.6,99.4424
436.8,99.4424
437,99.4404
437.2,99.4402
437.4,99.4379
437.6,99.4374
437.8,99.4367
438,99.4351
438.2,99.4337
438.4,99.4333
438.6,99.4326
438.8,99.432
439,99.4305
439.2,99.4298
439.4,99.4296
439.6,99.4288
439.8,99.4269
440,99.4267
440.2,99.4267
440.4,99.4263
440.6,99.4251
440.8,99.4248
441,99.4244
441.2,99.4244
441.4,99.4242
441.6,99.423
441.8,99.4227
442,99.4226
442.2,99.4219
442.4,99.4199
442.6,99.4192
442.8,99.4172
443,99.4172
443.2,99.4158
443.4,99.4152
443.6,99.4149
443.8,99.4146
444,99.4145
444.2,99.4142
444.4,99.4138
444.6,99.4119
444.8,99.4117
445,99.4114
445.2,99.4112
445.4,99.4109
445.6,99.4107
445.8,99.4105
446,99.4103
446.2,99.4098
446.4,99.408
446.6,99.4066
446.8,99.4058
447,99.4057
447.2,99.4039
447.4,99.4021
447.6,99.4014
447.8,99.4009
448,99.4005
448.2,99.4002
448.4,99.4
448.6,99.4
448.8,99.3999
449,99.3986
449.2,99.398
449.4,99.3976
449.6,99.3969
449.8,99.3967
450,99.3964
450.2,99.3955
450.4,99.3952
450.6,99.3949
450.8,99.3943
451,99.3939
451.2,99.3926
451.4,99.3925
451.6,99.3925
451.8,99.3908
452,99.3904
452.2,99.3896
452.4,99.3876
452.6,99.3873
452.8,99.3873
453,99.386
453.2,99.3853
453.4,99.3851
453.6,99.3842
453.8,99.3828
454,99.3818
454.2,99.3805
454.4,99.3798
454.6,99.3792
454.8,99.379
455,99.3789
455.2,99.3774
455.4,99.3773
455.6,99.3766
455.8,99.3761
456,99.3761
456.2,99.3761
456.4,99.3761
456.6,99.3759
456.8,99.3759
457,99.3757
457.2,99.3743
457.4,99.3738
457.6,99.3725
457.8,99.3724
458,99.3721
458.2,99.3714
458.4,99.3699
458.6,99.3698
458.8,99.3693
459,99.3678
459.2,99.3661
459.4,99.3651
459.6,99.3646
459.8,99.3624
460,99.3621
460.2,99.3599
460.4,99.3596
460.6,99.3591
460.8,99.3591
461,99.3583
461.2,99.3565
461.4,99.356
461.6,99.3559
461.8,99.3541
462,99.3532
462.2,99.3524
462.4,99.3515
462.6,99.3488
462.8,99.3483
463,99.3458
463.2,99.3451
463.4,99.3404
463.6,99.3401
463.8,99.3383
464,99.3382
464.2,99.3359
464.4,99.3358
464.6,99.3342
464.8,99.3325
465,99.3291
465.2,99.3291
465.4,99.3282
465.6,99.3273
465.8,99.3267
466,99.3259
466.2,99.3259
466.4,99.3248
466.6,99.3242
466.8,99.3214
467,99.32
467.2,99.32
467.4,99.3198
467.6,99.3177
467.8,99.3164
468,99.3162
468.2,99.3148
468.4,99.3147
468.6,99.3145
468.8,99.3132
469,99.3117
469.2,99.3102
469.4,99.3089
469.6,99.3088
469.8,99.3087
470,99.308
470.2,99.3079
470.4,99.3077
470.6,99.3073
470.8,99.3071
471,99.3067
471.2,99.3063
471.4,99.3058
471.6,99.3057
471.8,99.3056
472,99.3045
472.2,99.3042
472.4,99.3038
472.6,99.3036
472.8,99.3029
473,99.3026
473.2,99.3012
473.4,99.3004
473.6,99.3001
473.8,99.3001
474,99.3
474.2,99.299
474.4,99.2986
474.6,99.2986
474.8,99.2976
475,99.2975
475.2,99.2972
475.4,99.2965
475.6,99.2964
475.8,99.2961
476,99.2959
476.2,99.2954
476.4,99.2946
476.6,99.2944
476.8,99.2941
477,99.2937
477.2,99.2924
477.4,99.2914
477.6,99.2913
477.8,99.2875
478,99.2875
478.2,99.2872
478.4,99.2837
478.6,99.2821
478.8,99.281
479,99.281
479.2,99.2779
479.4,99.2765
479.6,99.2764
479.8,99.2763
480,99.2763
480.2,99.2758
480.4,99.2755
480.6,99.2749
480.8,99.2742
481,99.2739
481.2,99.2736
481.4,99.2728
481.6,99.2724
481.8,99.2724
482,99.2724
482.2,99.2696
482.4,99.269
482.6,99.2689
482.8,99.2689
483,99.2688
483.2,99.2688
483.4,99.2674
483.6,99.2674
483.8,99.2661
484,99.2654
484.2,99.2644
484.4,99.2634
484.6,99.2628
484.8,99.2623
485,99.261
485.2,99.2606
485.4,99.259
485.6,99.2571
485.8,99.257
486,99.255
486.2,99.2519
486.4,99.2491
486.6,99.249
486.8,99.2465
487,99.2463
487.2,99.2458
487.4,99.2456
487.6,99.2441
487.8,99.2426
488,99.2415
488.2,99.2402
488.4,99.24
488.6,99.2395
488.8,99.2393
489,99.2392
489.2,99.2371
489.4,99.2364
489.6,99.2357
489.8,99.2346
490,99.2345
490.2,99.2335
490.4,99.2334
490.6,99.2324
490.8,99.2321
491,99.2314
491.2,99.2304
491.4,99.2299
491.6,99.2258
491.8,99.2233
492,99.2221
492.2,99.2219
492.4,99.2217
492.6,99.2215
492.8,99.2202
493,99.2187
493.2,99.2152
493.4,99.2151
493.6,99.2145
493.8,99.2123
494,99.2109
494.2,99.2108
494.4,99.2103
494.6,99.21
494.8,99.2082
495,99.2063
495.2,99.2024
495.4,99.1992
495.6,99.199
495.8,99.1971
496,99.1951
496.2,99.1937
496.4,99.1918
496.6,99.1909
496.8,99.19
497,99.1887
497.2,99.1864
497.4,99.1862
497.6,99.1799
497.8,99.1797
498,99.1792
498.2,99.177
498.4,99.1769
498.6,99.1735
498.8,99.173
499,99.173
499.2,99.1729
499.4,99.1726
499.6,99.1701
499.8,99.1691
500,99.169
500.2,99.1682
500.4,99.1681
500.6,99.1677
500.8,99.1655
501,99.1653
501.2,99.1638
501.4,99.1625
501.6,99.1621
501.8,99.161
502,99.1609
502.2,99.1558
502.4,99.154
502.6,99.1524
502.8,99.1521
503,99.1506
503.2,99.1489
503.4,99.1487
503.6,99.1447
503.8,99.1425
504,99.1417
504.2,99.141
504.4,99.141
504.6,99.1401
504.8,99.1393
505,99.1388
505.2,99.1387
505.4,99.1385
505.6,99.1351
505.8,99.135
506,99.1342
506.2,99.1325
506.4,99.1287
506.6,99.1278
506.8,99.1275
507,99.1274
507.2,99.1274
507.4,99.1264
507.6,99.1255
507.8,99.1246
508,99.1239
508.2,99.1231
508.4,99.1223
508.6,99.1218
508.8,99.1206
509,99.1196
509.2,99.118
509.4,99.1172
509.6,99.1171
509.8,99.117
510,99.1162
510.2,99.1158
510.4,99.1157
510.6,99.1131
510.8,99.1129
511,99.1107
511.2,99.109
511.4,99.1086
511.6,99.1078
511.8,99.1064
512,99.1041
512.2,99.1038
512.4,99.1014
512.6,99.1007
512.8,99.0997
513,99.0874
513.2,99.0849
513.4,99.068
513.6,99.0666
513.8,99.0638
514,99.057
514.2,99.053
514.4,99.0302
514.6,99.0281
514.8,99.0183
515,99.0182
515.2,99.0121
515.4,99.0068
515.6,99.0013
515.8,99.0009
516,98.9984
516.2,98.9792
516.4,98.9782
516.6,98.9682
516.8,98.9681
517,98.9627
517.2,98.9586
517.4,98.9549
517.6,98.9524
517.8,98.9477
518,98.9476
518.2,98.9382
518.4,98.9252
518.6,98.9219
518.8,98.9163
519,98.9045
519.2,98.9025
519.4,98.9003
519.6,98.8978
519.8,98.8865
520,98.8837
520.2,98.878
520.4,98.8468
520.6,98.8442
520.8,98.8386
521,98.8362
521.2,98.8303
521.4,98.8287
521.6,98.8262
521.8,98.8258
522,98.8235
522.2,98.8209
522.4,98.8194
522.6,98.8184
522.8,98.8168
523,98.8156
523.2,98.8153
523.4,98.8136
523.6,98.808
523.8,98.8029
524,98.8009
524.2,98.796
524.4,98.7932
524.6,98.761
524.8,98.6857
525,98.6171
525.2,98.523
525.4,98.4317
525.6,98.3293
525.8,98.2328
526,98.0984
526.2,97.9767
526.4,97.8558
526.6,97.7023
526.8,97.5412
527,97.3596
527.2,97.1487
527.4,96.9449
527.6,96.7417
527.8,96.5108
528,96.2316
528.2,95.9621
528.4,95.664
528.6,95.362
528.8,95.0233
529,94.6672
529.2,94.2697
529.4,93.8678
529.6,93.4086
529.8,92.9611
530,92.4799
530.2,91.9563
530.4,91.4402
530.6,90.8544
530.8,90.2738
531,89.6578
531.2,89.0271
531.4,88.3635
531.6,87.6929
531.8,86.9834
532,86.2561
532.2,85.4959
532.4,84.7491
532.6,83.968
532.8,83.1722
533,82.3705
533.2,81.5367
533.4,80.7102
533.6,79.8785
533.8,79.0369
534,78.2129
534.2,77.3431
534.4,76.5153
534.6,75.6352
534.8,74.7768
535,73.916
535.2,73.0975
535.4,72.2348
535.6,71.4053
535.8,70.5717
536,69.7567
536.2,68.9272
536.4,68.1489
536.6,67.3583
536.8,66.5856
537,65.8188
537.2,65.0652
537.4,64.3022
537.6,63.5896
537.8,62.8988
538,62.2206
538.2,61.573
538.4,60.9354
538.6,60.326
538.8,59.7235
539,59.1587
539.2,58.6186
539.4,58.0857
539.6,57.5794
539.8,57.1165
540,56.6479
540.2,56.1969
540.4,55.765
540.6,55.3731
540.8,54.9814
541,54.5917
541.2,54.2406
541.4,53.8648
541.6,53.4965
541.8,53.1387
542,52.7756
542.2,52.3976
542.4,52.0137
542.6,51.6089
542.8,51.1551
543,50.7084
543.2,50.2037
543.4,49.6909
543.6,49.1166
543.8,48.5223
544,47.8624
544.2,47.1483
544.4,46.4395
544.6,45.6554
544.8,44.8205
545,43.9074
550,18.4
555,4.32
560,2.09
565,2.09
570,1.95
575,1.67
580,1.39
585,1.2
590,1.12
595,1.11
600,1.06
605,0.909
610,0.856
615,0.886
620,0.955
625,1.1
630,1.16
635,1.1
640,1.04
645,0.927
650,0.777
655,0.771
660,0.88
665,0.882
670,0.796
675,0.72
680,0.63
685,0.53
690,0.47
695,0.394
700,0.194
705,0.0523
710,0.0259
715,0.0216
720,0.0238
725,0.0294
730,0.0261
735,0.0213
740,0.0224
745,0.0282
750,0.0353
755,0.0355
760,0.0351
765,0.0362
770,0.034
775,0.0334
780,0.0337
785,0.0332
790,0.0443
795,0.0877
800,0.183
805,0.294
810,0.381
815,0.503
820,0.609
825,0.559
830,0.477
835,0.493
840,0.444
845,0.289
850,0.2
855,0.262
860,0.433
865,0.558
870,0.564
875,0.577
880,0.714
885,0.939
890,1.06
895,0.949
900,0.705
905,0.519
910,0.433
915,0.379
920,0.362
925,0.439
930,0.589
935,0.691
940,0.716
945,0.714
950,0.736
955,0.745
960,0.713
965,0.674
970,0.677
975,0.726
980,0.768
985,0.763
990,0.727
995,0.716
1000,0.753
1005,0.801
1010,0.813
1015,0.795
1020,0.783
1025,0.804
1030,0.859
1035,0.932
1040,1.02
1045,1.11
1050,1.18
1055,1.18
1060,1.16
1065,1.27
1070,1.67
1075,2.37
1080,3.18
1085,3.93
1090,4.54
1095,5.01
1100,5.2
