Wavelength (nm),Channel g (%),Channel r (%),Channel i (%),Channel z (%)
350.0,0.12641878758026598,0.030672876751511906,0.0,0.07410404594730806
357.57575757575756,0.20525337935816182,0.02338413139810293,0.009292016026237004,0.05399895944921981
365.1515151515151,0.3079316898161139,0.017355439462949235,0.03184758834845255,0.03581882613778696
372.72727272727275,0.4393436807967418,0.01250932396783102,0.0335771572618405,0.021122044426429315
380.3030303030303,0.5687708547074399,0.00878337524160019,0.024595549912489387,0.010607069009075236
387.8787878787879,0.667158283532268,0.006121526108454379,0.013273667399124495,0.004231510935694555
395.45454545454544,0.7323673017483061,0.004440844277990434,0.005070492328705301,0.0013310219276620812
403.030303030303,0.7763254104228628,0.0035860088134509983,0.00188212801088002,0.0007289519317877182
410.6060606060606,0.799625573285311,0.0032812949706749394,0.0017423057588355606,0.0008297919176210305
418.1818181818182,0.8115499511005297,0.003107001202188034,0.0011712156144286928,0.0004449213743239982
425.75757575757575,0.8213964101683343,0.0031805397677136683,0.0007454923355127244,0.00016380727991986013
433.33333333333337,0.8178504389180266,0.002621760223201583,0.00043464748472318,0.00012497385811454983
440.9090909090909,0.8104931320017986,0.0015082529741188033,0.00024054868843338288,0.00010911257729546724
448.4848484848485,0.8007439129769829,0.0012924096996506068,0.00012174436227563392,7.01904775017879e-05
456.06060606060606,0.7921231325082096,0.0018127262459868094,9.368891118683816e-05,4.537581307161403e-05
463.6363636363636,0.7851352191703578,0.0022880515171643185,9.142500253285575e-05,4.1485108100974576e-05
471.21212121212125,0.781173624519617,0.0024771059644842874,8.918076675889861e-05,4.008363489742308e-05
478.78787878787875,0.7802911255496481,0.0028238267070650382,9.078077615051168e-05,3.595707729259942e-05
486.3636363636364,0.781479918160053,0.0024186736987349714,9.918658094579637e-05,2.0975143002037436e-05
493.93939393939394,0.7861158078440846,0.001801824345479513,0.0001036048110718478,1.1885041984179534e-05
501.5151515151515,0.7911166756297869,0.002336728346627017,9.622534044364606e-05,1.9050424868710857e-05
509.0909090909091,0.7999694775088005,0.0021601319591459146,8.767769813274819e-05,2.7442970623485515e-05
516.6666666666667,0.8051164556342819,0.002614336743288031,9.138288181792237e-05,1.9240278490660012e-05
524.2424242424242,0.8025788377721642,0.009225395625768235,0.00010202821030490316,6.706158967841739e-06
531.8181818181818,0.7221038094569848,0.09025088993924202,0.0001052176423929835,1.328118049822901e-06
539.3939393939394,0.49365364043910753,0.3680944994052413,0.00010260242771702119,9.377271769300248e-07
546.969696969697,0.26965410137807744,0.6214764515480745,0.00010003219692424604,6.921059022753696e-07
554.5454545454545,0.058238517711974885,0.8892879583495329,9.674034106940067e-05,3.5114198386221003e-07
562.1212121212121,0.01830528151684885,0.9252863597110103,9.115652748146083e-05,5.1782883600199e-07
569.6969696969697,0.017186713544050183,0.9280971728488229,9.014122218015534e-05,6.805822206149681e-07
577.2727272727273,0.013550207213330083,0.9264626186734257,9.288020202703122e-05,4.5996741950014645e-07
584.8484848484849,0.01055167894790816,0.9245468430241812,0.00011512469713167413,6.721936893913738e-08
592.4242424242425,0.009485610304421516,0.9208798543325467,0.00018677165178619456,2.62109496781785e-07
600.0,0.00864874012305231,0.9171571000875299,0.00047832888037139105,5.898501979215476e-07
607.5757575757575,0.006991195671213569,0.8988925078954483,0.004519238561358388,9.47669798681221e-06
615.1515151515152,0.006815834134285953,0.8915397887340243,0.006355884963786897,6.155397490782832e-05
622.7272727272727,0.007461919131625504,0.88611634797715,0.0037332043587917424,0.00011955809488362155
630.3030303030303,0.007677507912699936,0.876646625164734,0.0026574373467536886,0.0001235054729719167
637.8787878787879,0.006503595198938273,0.8670148621911192,0.0032266917226323557,8.867008346652212e-05
645.4545454545455,0.004942800243385144,0.8532659906707682,0.008108785924020456,8.741202995720273e-05
653.030303030303,0.003583849689702631,0.8375558084896315,0.014376052037401468,0.00011693620047979719
660.6060606060606,0.0033698864706043683,0.8068976199947694,0.03233287293938759,0.0001901533744338951
668.1818181818182,0.002397854788092594,0.7114372488337498,0.11371727213832325,0.0003229675073653137
675.7575757575758,0.001300973717357614,0.5442418541164964,0.2724543757635052,0.00043936717662840106
683.3333333333334,0.0003793402161485306,0.4147615255255873,0.39773718057876517,0.0007680544345557631
690.909090909091,0.0,0.35218590658779053,0.4528238536340157,0.0012091370295165267
698.4848484848485,0.0,0.17359969058858102,0.6261875243066929,0.0024069784844850915
706.060606060606,0.0,0.02790538150872406,0.772443033204947,0.0032502609172581666
713.6363636363636,0.0,0.017232926570357517,0.7738918257396867,0.002969050105629938
721.2121212121212,0.0,0.016512578079578188,0.7615477277790215,0.0029483105349524773
728.7878787878788,0.0,0.015114791554661222,0.7488996191917732,0.003206291124597368
736.3636363636364,0.0,0.010630129454099451,0.7385140073569181,0.002933402340894033
743.939393939394,0.0,0.01112578624689502,0.7227013626427528,0.0025348198881913657
751.5151515151515,0.0,0.01224753773128954,0.7067379763514396,0.0017609524852059437
759.0909090909091,0.0,0.010935802329675458,0.693473985375137,0.0016498356027681586
766.6666666666667,0.0,0.010362986497230432,0.6778860882752971,0.0023135777030223134
774.2424242424242,0.0,0.00776546507512939,0.6623009130353114,0.002471539495439734
781.8181818181818,0.0,0.006747667831085072,0.6516506840931284,0.0021461436952728255
789.3939393939395,0.0,0.005622595105452579,0.6367665651807702,0.0027631529468708717
796.969696969697,0.0,0.006119121603324393,0.6157552623443373,0.004789131047008356
804.5454545454545,0.0,0.005394694488698532,0.5874148422013433,0.012598873632392192
812.1212121212121,0.0,0.003843830845057131,0.5368943834822056,0.04355538167737199
819.6969696969697,0.0,0.0035138303970418706,0.4438948823499314,0.11556147255387961
827.2727272727273,0.0,0.002641135802987361,0.3328020658387263,0.20867602292681506
834.8484848484849,0.0,0.003176135355601482,0.231336796888351,0.28849331461926087
842.4242424242425,0.0,0.004186137480003145,0.12924345556069794,0.36775608216415373
850.0,0.0,0.004200540176907988,0.0411851225257465,0.43497404772765186
857.5757575757576,0.0,0.004510320687131297,0.013688853505929814,0.4380887566066291
865.1515151515151,0.0,0.0027845495632738923,0.010768519935841147,0.4174971222435087
872.7272727272727,0.0,0.001292453455323369,0.009149788025566036,0.3957621809925737
880.3030303030304,0.0,0.0010096123367258577,0.007342972981514981,0.37198268379255733
887.8787878787879,0.0,0.0011368259533888288,0.006536772482491553,0.3464060335052165
895.4545454545455,0.0,0.0010844389327179967,0.006067316832951991,0.32296664090331145
903.030303030303,0.0,0.000954223033562383,0.005852475867641766,0.300884148223512
910.6060606060606,0.0,0.0012523288791072371,0.005667045713336071,0.27746667759925486
918.1818181818182,0.0,0.0017429996751605586,0.005225860534218005,0.2539049715243097
925.7575757575758,0.0,0.0016368996323275998,0.0045635200103488,0.23171143368672364
933.3333333333334,0.0,0.001092311453748128,0.0037612806072559756,0.2105589568296414
940.909090909091,0.0,0.0006469678051445332,0.0030928602562124924,0.1907205260162904
948.4848484848485,0.0,0.0004589908818307799,0.0026291528997986757,0.17029815403094725
956.0606060606061,0.0,0.0003860178346936889,0.0022873565289394625,0.150460336269881
963.6363636363636,0.0,0.00029802462005096666,0.0019284205115849917,0.13352599911354868
971.2121212121212,0.0,0.00023837978786116668,0.001584208930420141,0.11714345660132144
978.7878787878789,0.0,0.0002038497050273716,0.0013006173496881747,0.10130117967177578
986.3636363636364,0.0,0.00015987501033702737,0.0010678470090780844,0.08654183097581444
993.939393939394,0.0,0.0001233742130226454,0.0008973043391459454,0.07308981484682688
1001.5151515151515,0.0,0.00010737812398787605,0.0008297663834903597,0.06071104674394789
1009.0909090909091,0.0,8.604330118457414e-05,0.0007846484776825967,0.04976795944703613
1016.6666666666667,0.0,5.820020069474466e-05,0.0006999321586267377,0.040151098762979544
1024.2424242424242,0.0,3.8529446280647064e-05,0.0005794326159213894,0.031806744578040995
1031.818181818182,0.0,2.7078358116827693e-05,0.0004496632998551681,0.024746796169268424
1039.3939393939395,0.0,1.9538012853562034e-05,0.0003219213759497604,0.01879647819053358
1046.969696969697,0.0,1.3866143735009086e-05,0.00020863054419962564,0.01394620596730942
1054.5454545454545,0.0,8.724100642606314e-06,0.00013206536852260613,0.010107135955110045
1062.121212121212,0.0,4.896730043995361e-06,8.491038577710899e-05,0.007182946893347875
1069.6969696969697,0.0,3.2252107237115116e-06,4.893861777899033e-05,0.004953890330839239
1077.2727272727273,0.0,1.8298830212269413e-06,2.348491609121122e-05,0.003351621756033095
1084.848484848485,0.0,2.4864600086045375e-07,1.369401387301676e-05,0.002299558529714832
1092.4242424242425,0.0,0.0,1.780140304231145e-05,0.0016440659505437061
1100.0,0.0,0.0,3.117275220372569e-05,0.0012385629203577493
